Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz
Ubuntu 20.04
2 cpus
us-east-1a

hello!
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,2,14142.000000,20044.050638,703.000000,1991.854618,4182.000000,12942.513903,4742.000000,13562.064154,7893.000000,12539.800087,
20,3,14806.000000,38469.828640,673.000000,1016.153749,4096.000000,16385.790697,5220.000000,10675.170044,9535.000000,14597.578039,
20,4,15158.000000,24870.509093,788.000000,3453.580148,4020.000000,6741.086772,6717.000000,20308.779538,11609.000000,25367.216791,
20,5,18098.000000,48132.482770,687.000000,1370.821255,4552.000000,17976.227962,6582.000000,10096.859895,10983.000000,13176.323811,
20,6,25124.000000,247503.204824,816.000000,2933.970999,3623.000000,3818.717223,7488.000000,14736.943884,13703.000000,56668.238282,
20,7,15118.000000,11061.610054,611.000000,752.860243,3875.000000,8799.819930,6735.000000,4817.102710,12809.000000,14368.785112,
20,8,15211.000000,7073.334455,611.000000,595.321674,3520.000000,1615.295454,7274.000000,6771.021683,11704.000000,3440.419392,
20,9,15307.000000,4299.951715,592.000000,219.494027,3617.000000,745.434909,7858.000000,5782.284285,13051.000000,4967.513786,
20,10,16389.000000,9438.401049,588.000000,177.946433,3794.000000,2267.324905,8618.000000,6416.900422,13817.000000,3341.224057,
40,2,11135.000000,2233.133010,647.000000,35.005428,3180.000000,3293.069845,4022.000000,5069.674823,6592.000000,1465.338129,
40,3,12153.000000,5880.048486,649.000000,497.957685,3485.000000,6457.391027,4507.000000,1810.129302,7804.000000,2353.690245,
40,4,12499.000000,3897.084843,654.000000,965.337958,3293.000000,1851.603721,5464.000000,5658.997513,8543.000000,3574.387506,
40,5,13561.000000,6740.074303,630.000000,315.005729,3466.000000,2948.303942,5852.000000,1764.304738,9391.000000,1947.588789,
40,6,14295.000000,5614.985815,669.000000,1012.797312,3440.000000,1831.856105,6622.000000,5229.809168,10445.000000,2834.503268,
40,7,15226.000000,6450.914525,618.000000,218.977179,3542.000000,1625.558134,6964.000000,2173.088343,11364.000000,2523.234704,
40,8,16107.000000,7907.473831,634.000000,355.216243,3723.000000,3838.892147,7693.000000,2196.158564,12584.000000,6628.386047,
40,9,16434.000000,5655.173663,625.000000,270.239114,3874.000000,4594.011350,8264.000000,2488.286548,13605.000000,5021.569886,
40,10,17464.000000,8388.103002,634.000000,287.154664,3866.000000,2806.662133,9272.000000,8268.957524,14496.000000,4659.729950,
60,2,11466.000000,5099.970493,652.000000,59.628173,3196.000000,2884.088609,4066.000000,5053.791319,7335.000000,17516.152863,
60,3,12022.000000,3571.127393,655.000000,510.175271,3422.000000,5860.687235,4804.000000,3981.817553,7882.000000,5730.465077,
60,4,13194.000000,7881.897311,670.000000,692.481871,3579.000000,4581.129458,5569.000000,4975.759733,9010.000000,5514.763250,
