Run on 11th Gen Intel(R) Core(TM) i7-11700K @ 3.60G
Ubuntu 20.04 LTS

hello! These are the plain franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, send_mean, send_stddev, platform_mean, platform_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,4033.000000,4355.324551,1456.000000,1412.329638,1753.000000,1741.965348,2720.000000,2582.912579,
40,3009.000000,51.097886,1093.000000,209.526831,1340.000000,298.054970,2106.000000,425.731420,
60,3065.000000,48.880712,1104.000000,14.127986,1373.000000,36.051477,2113.000000,304.381241,
80,3062.000000,492.734987,1104.000000,11.260284,1357.000000,16.868225,2107.000000,220.915855,
100,3076.000000,379.034526,1103.000000,10.955045,1371.000000,15.258178,2098.000000,47.792489,
120,3113.000000,57.676269,1098.000000,10.964306,1416.000000,15.121541,2133.000000,27.166339,
140,3105.000000,311.020094,1107.000000,36.463105,1422.000000,18.370629,2125.000000,24.571772,
160,3097.000000,379.515387,1106.000000,11.468348,1388.000000,14.625389,2137.000000,53.439377,
180,3107.000000,29.605253,1109.000000,10.638609,1414.000000,12.341839,2151.000000,215.380238,
200,3180.000000,485.798848,1112.000000,34.228365,1457.000000,9.331131,2184.000000,224.046348,
220,3159.000000,283.106946,1110.000000,9.488677,1462.000000,59.194544,2174.000000,20.718180,
240,3123.000000,226.706511,1107.000000,12.075885,1449.000000,50.714367,2181.000000,309.857375,
260,3185.000000,307.314176,1097.000000,11.887472,1472.000000,14.406839,2191.000000,216.717233,
280,3189.000000,382.047208,1105.000000,12.279699,1500.000000,10.886459,2199.000000,41.607079,
300,3159.000000,29.029485,1112.000000,48.727374,1504.000000,15.851341,2211.000000,304.631784,
320,3209.000000,310.593550,1107.000000,208.167740,1528.000000,399.235523,2226.000000,493.566750,
340,3221.000000,238.828371,1106.000000,11.880109,1529.000000,14.792938,2238.000000,305.063849,
360,3236.000000,383.379560,1111.000000,209.797600,1533.000000,12.791638,2221.000000,67.397871,
380,3262.000000,46.868742,1111.000000,12.414347,1574.000000,16.100000,2264.000000,40.042303,
400,3246.000000,385.442022,1106.000000,11.336534,1568.000000,220.802704,2257.000000,22.488642,
420,3261.000000,50.080685,1104.000000,23.474625,1570.000000,33.182947,2261.000000,56.295950,
440,3311.000000,41.756568,1111.000000,35.868036,1623.000000,10.269469,2298.000000,36.007555,
460,3298.000000,30.617707,1113.000000,11.064674,1605.000000,33.003879,2285.000000,40.832426,
480,3278.000000,211.145796,1118.000000,312.312188,1599.000000,13.440982,2294.000000,36.451529,
500,3300.000000,46.777366,1107.000000,11.567800,1624.000000,321.330240,2302.000000,215.827753,
520,3339.000000,47.204385,1113.000000,315.789025,1672.000000,376.221053,2313.000000,26.603703,
540,3331.000000,30.233806,1110.000000,12.090244,1669.000000,12.387615,2321.000000,41.465214,
560,3318.000000,44.961117,1107.000000,11.652811,1644.000000,37.421665,2317.000000,24.599370,
580,3375.000000,320.297579,1104.000000,216.413500,1685.000000,37.732917,2339.000000,44.288317,
600,3393.000000,354.003616,1103.000000,10.870511,1696.000000,15.407433,2347.000000,24.453118,
620,3384.000000,122.117247,1111.000000,27.724646,1697.000000,41.556708,2350.000000,42.811903,
640,3402.000000,218.468979,1102.000000,9.615612,1706.000000,32.531677,2391.000000,313.712760,
660,3455.000000,482.352892,1118.000000,309.022261,1733.000000,211.863239,2399.000000,243.471565,
680,3463.000000,742.892907,1116.000000,222.542200,1744.000000,12.157138,2392.000000,51.560586,
700,3465.000000,316.387664,1110.000000,10.773904,1774.000000,14.752796,2423.000000,215.170444,
720,3433.000000,291.575445,1105.000000,10.839788,1763.000000,211.549770,2412.000000,22.979252,
740,3465.000000,317.391167,1108.000000,207.302330,1754.000000,33.966984,2409.000000,22.944520,
760,3495.000000,27.702780,1103.000000,11.347555,1810.000000,33.242488,2442.000000,39.928123,
780,3496.000000,390.830838,1112.000000,214.746413,1823.000000,304.369123,2441.000000,25.359397,
800,3469.000000,31.060409,1103.000000,36.122971,1807.000000,212.998005,2436.000000,23.489572,
820,3498.000000,220.519983,1105.000000,58.312254,1820.000000,314.878991,2440.000000,23.786025,
840,3538.000000,186.294077,1102.000000,11.857656,1873.000000,494.034039,2471.000000,22.753747,
860,3541.000000,47.717596,1109.000000,46.531194,1865.000000,376.106030,2467.000000,25.068247,
880,3509.000000,319.540885,1103.000000,11.540061,1838.000000,37.293203,2476.000000,21.941308,
900,3599.000000,484.466654,1096.000000,10.825525,1884.000000,194.901839,2495.000000,24.643316,
920,3580.000000,287.604762,1104.000000,26.802295,1908.000000,432.830679,2554.000000,768.834673,
940,3579.000000,57.216125,1107.000000,11.871984,1890.000000,314.975575,2501.000000,48.103617,
960,3581.000000,46.955074,1104.000000,10.011394,1925.000000,302.079978,2539.000000,39.876045,
980,3612.000000,219.219620,1111.000000,313.737027,1925.000000,223.656762,2539.000000,313.598576,
1000,3664.000000,390.571810,1100.000000,11.259440,1945.000000,313.778537,2533.000000,24.118105,
1020,3698.000000,69.280257,1102.000000,206.260045,2052.000000,184.729161,2587.000000,310.948628,

done.
