Run on 11th Gen Intel(R) Core(TM) i7-11700K @ 3.60G
Ubuntu 20.04 LTS

hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,2,5166.000000,5160.972884,322.000000,280.819383,1871.000000,1593.722330,3349.000000,2808.066438,3042.000000,2515.713078,
20,3,4571.000000,63.717203,267.000000,5.790941,1612.000000,304.082527,3637.000000,379.286148,2930.000000,366.703391,
20,4,4872.000000,218.238010,264.000000,5.325692,1646.000000,303.742804,4433.000000,220.944077,3234.000000,380.089949,
20,5,5270.000000,288.313111,261.000000,10.584281,1693.000000,28.882140,5250.000000,297.636085,3576.000000,52.652474,
20,6,5544.000000,92.449613,253.000000,3.893970,1717.000000,53.730643,6046.000000,86.411938,3867.000000,212.480225,
20,7,5849.000000,88.552883,257.000000,4.091210,1743.000000,29.783737,6812.000000,86.914366,4184.000000,65.112387,
20,8,6108.000000,426.071833,253.000000,44.904488,1782.000000,31.650671,7654.000000,455.168658,4483.000000,421.058346,
20,9,6361.000000,206.144770,258.000000,53.345140,1818.000000,42.774759,8434.000000,590.265550,4787.000000,226.634075,
20,10,6721.000000,490.258322,256.000000,34.261392,1855.000000,372.109527,9219.000000,239.456547,5117.000000,71.452285,
40,2,4334.000000,369.213719,273.000000,8.967441,1561.000000,28.611606,2909.000000,435.841701,2602.000000,216.357789,
40,3,4692.000000,525.060497,273.000000,101.745354,1594.000000,44.697080,3743.000000,316.580464,2986.000000,300.827858,
40,4,5011.000000,227.304479,265.000000,67.397552,1652.000000,311.884575,4593.000000,379.035353,3295.000000,312.786315,
40,5,5450.000000,374.553585,266.000000,91.979612,1716.000000,300.784140,5409.000000,314.189952,3646.000000,307.917262,
40,6,5784.000000,308.800219,263.000000,59.632726,1766.000000,24.067052,6283.000000,407.437817,3985.000000,317.864797,
40,7,6131.000000,371.092003,260.000000,6.083831,1821.000000,284.300528,7088.000000,434.226911,4334.000000,519.416601,
40,8,6385.000000,433.416991,262.000000,60.493000,1796.000000,51.573007,7927.000000,368.474762,4610.000000,584.252214,
40,9,6782.000000,637.616614,261.000000,37.128453,1866.000000,36.721629,8778.000000,586.818257,4934.000000,301.559495,
40,10,7075.000000,430.765095,266.000000,41.026650,1883.000000,18.426638,9595.000000,577.396102,5284.000000,529.406033,
60,2,4384.000000,350.182135,277.000000,9.456955,1577.000000,28.462256,2943.000000,376.051430,2615.000000,33.231280,
60,3,4752.000000,227.375032,272.000000,6.575181,1613.000000,24.775653,3828.000000,420.945840,3039.000000,478.248836,
60,4,5146.000000,491.970784,270.000000,99.927043,1654.000000,207.178218,4708.000000,301.768875,3326.000000,298.241575,
60,5,5513.000000,364.520838,264.000000,8.420748,1696.000000,25.480816,5548.000000,378.587236,3671.000000,504.702770,
60,6,5915.000000,537.191077,263.000000,3.660328,1710.000000,50.054880,6409.000000,399.752959,3953.000000,320.261368,
60,7,6191.000000,529.582575,264.000000,50.275799,1733.000000,25.233173,7255.000000,311.721815,4291.000000,490.004661,
60,8,6552.000000,448.908710,264.000000,62.558021,1794.000000,366.969480,8152.000000,428.476796,4577.000000,375.886322,
60,9,6999.000000,637.284729,264.000000,7.246309,1837.000000,230.644803,9094.000000,520.574549,4964.000000,325.091716,
60,10,7371.000000,94.451538,269.000000,6.983409,1874.000000,27.237125,10086.000000,148.679888,5366.000000,52.292399,
80,2,4471.000000,44.375004,289.000000,6.979542,1591.000000,49.504545,3013.000000,51.931773,2653.000000,35.354915,
80,3,4878.000000,126.533509,281.000000,9.651477,1633.000000,40.748288,3942.000000,31.228449,3045.000000,35.066195,
80,4,5286.000000,75.787235,274.000000,5.282045,1675.000000,52.771451,4885.000000,88.056022,3363.000000,33.204548,
80,5,5656.000000,62.600367,274.000000,9.492313,1718.000000,41.663689,5761.000000,50.963359,3721.000000,54.817114,
80,6,6046.000000,93.064349,273.000000,3.701081,1736.000000,39.219931,6693.000000,69.771470,4041.000000,64.878294,
80,7,6419.000000,105.499445,272.000000,3.292871,1772.000000,20.710674,7590.000000,85.682478,4406.000000,75.461487,
80,8,6891.000000,108.683973,271.000000,3.178994,1825.000000,42.841615,8505.000000,125.633861,4687.000000,77.256411,
80,9,7210.000000,132.986578,271.000000,2.970017,1845.000000,22.510464,9457.000000,115.886639,5042.000000,69.873643,
80,10,7680.000000,118.114500,276.000000,4.589553,1856.000000,22.514173,10369.000000,125.786593,5395.000000,65.410060,
100,2,4500.000000,73.528885,283.000000,8.786467,1600.000000,30.439136,3041.000000,28.817391,2648.000000,75.663518,
100,3,4927.000000,68.456351,280.000000,6.331903,1636.000000,44.889720,4000.000000,36.446646,3028.000000,59.037031,
100,4,5353.000000,47.482492,273.000000,5.391197,1707.000000,40.756717,4948.000000,58.941149,3365.000000,46.432833,
100,5,5833.000000,661.307516,274.000000,103.537394,1746.000000,513.835012,5885.000000,660.498316,3746.000000,647.366446,
100,6,6234.000000,89.990588,264.000000,3.698919,1757.000000,23.078107,6801.000000,71.038504,4032.000000,50.185436,
100,7,6617.000000,98.088108,267.000000,3.573374,1791.000000,20.921472,7724.000000,97.392222,4379.000000,51.852194,
100,8,7013.000000,108.065550,266.000000,3.364372,1833.000000,48.642276,8654.000000,87.746174,4670.000000,69.934913,
100,9,7489.000000,105.469925,265.000000,3.318132,1862.000000,19.562285,9588.000000,98.723472,5010.000000,75.261464,
100,10,7774.000000,100.574057,265.000000,3.204528,1868.000000,20.214722,10511.000000,128.049354,5355.000000,61.504699,
