hello! These are the plain franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, send_mean, send_stddev, platform_mean, platform_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,18997.000000,11467.416749,12855.000000,1934.099004,13950.000000,1693.018561,24487.000000,1439.202827,
40,18356.000000,1524.140700,12832.000000,990.559200,14010.000000,1278.446376,24853.000000,4461.207740,
60,18703.000000,1330.807227,12743.000000,733.223663,14154.000000,1458.594170,24734.000000,1275.934613,
80,19034.000000,5330.384477,12948.000000,1263.248860,14255.000000,1215.614210,25212.000000,5301.198938,
100,18659.000000,1873.895404,12767.000000,751.880925,14083.000000,613.506842,24735.000000,1349.625814,
120,19014.000000,2153.665549,12860.000000,1402.903042,14421.000000,919.536285,25128.000000,3013.693761,
140,19160.000000,4072.798161,12989.000000,2019.038980,14499.000000,1018.175495,25334.000000,4428.148229,
160,19018.000000,3360.243027,12946.000000,2106.161315,14372.000000,2135.080895,25264.000000,2525.733665,
180,18867.000000,1619.922083,12928.000000,1636.677077,14586.000000,4144.187900,25164.000000,2998.602343,
200,18978.000000,1051.754111,12745.000000,807.620103,14551.000000,1142.543835,25048.000000,1197.521571,
220,18966.000000,1409.301395,12887.000000,1797.230971,14533.000000,860.296706,25073.000000,1245.661926,
240,18944.000000,933.625791,12800.000000,978.530652,14567.000000,944.420535,25188.000000,1181.804844,
260,19176.000000,1106.803620,12722.000000,674.787026,14709.000000,688.284204,25344.000000,1244.997896,
280,19259.000000,1746.605684,12793.000000,796.107318,14780.000000,770.895862,25430.000000,2536.805974,
300,19363.000000,1912.704913,12984.000000,1581.041751,14916.000000,1211.676486,25625.000000,4255.286051,
320,19287.000000,996.818527,12758.000000,696.280880,14943.000000,899.023492,25497.000000,1409.492209,
340,19614.000000,3303.545296,12937.000000,1006.761283,15099.000000,1085.118823,25743.000000,1759.333455,
360,19410.000000,1461.460090,12874.000000,986.920662,15068.000000,1321.637245,25554.000000,1208.266512,
380,19669.000000,1278.774478,12816.000000,623.287572,15318.000000,1319.671057,25802.000000,1103.693216,
400,19495.000000,925.564739,12870.000000,1027.698691,15246.000000,1529.170155,25763.000000,1305.632408,
420,19569.000000,1148.098313,12826.000000,670.825766,15222.000000,904.128593,25777.000000,1189.385065,
440,19845.000000,1507.502486,12883.000000,1118.975280,15488.000000,1252.134018,26039.000000,1907.512198,
460,19751.000000,1477.510060,12819.000000,813.406239,15340.000000,809.339005,25858.000000,1362.027162,
480,19897.000000,2366.393738,12896.000000,1491.512658,15465.000000,1059.999343,26130.000000,3237.631282,
500,19807.000000,1797.912443,12743.000000,780.553401,15441.000000,1546.394108,25930.000000,1444.030842,
520,20589.000000,1606.625407,13390.000000,6473.792658,15969.000000,2300.078101,26424.000000,2282.060934,
540,20950.000000,2274.093829,13327.000000,1465.275343,16036.000000,1278.509526,26369.000000,1437.932824,
560,20788.000000,2088.453042,13289.000000,2807.183850,16032.000000,1637.312655,26617.000000,2094.089581,
580,20505.000000,3489.728297,12908.000000,1767.326487,15974.000000,2184.641127,26385.000000,1299.591082,
600,20166.000000,1267.161856,12754.000000,957.348056,15739.000000,1020.891297,26271.000000,3256.442171,
620,20275.000000,1671.692799,12727.000000,757.802221,15798.000000,1476.775520,26240.000000,2036.552008,
640,20264.000000,1299.009016,12707.000000,802.261556,15855.000000,899.289517,26243.000000,1141.292247,
660,20347.000000,1347.122768,12807.000000,1546.291027,15963.000000,799.512436,26376.000000,1324.691875,
680,20333.000000,1123.602062,12753.000000,1049.998687,15957.000000,919.718891,26341.000000,1276.361276,
700,20655.000000,1955.888763,12819.000000,1197.350083,16240.000000,1642.365970,26704.000000,2402.468838,
720,20383.000000,911.007625,12795.000000,989.263530,16049.000000,854.191496,26523.000000,1230.391072,
740,20593.000000,1815.026891,12782.000000,1166.327383,16055.000000,726.260565,26535.000000,1227.783089,
760,20766.000000,1091.024214,12749.000000,594.155288,16427.000000,1095.496602,26846.000000,1182.350402,
780,20863.000000,1211.197884,12853.000000,1002.178230,16631.000000,4310.121805,26871.000000,1378.435644,
800,21418.000000,4853.798641,13152.000000,3252.546482,16813.000000,3793.260866,27492.000000,4269.410263,
820,21257.000000,1990.602807,13449.000000,6920.180743,16766.000000,2335.367097,27280.000000,2538.810592,
840,21334.000000,2533.067069,12906.000000,1029.038492,17018.000000,7933.654911,27324.000000,3711.566268,
860,20985.000000,1670.647769,12773.000000,942.304209,16611.000000,1364.572186,26944.000000,1471.008647,
880,20935.000000,1259.664482,12762.000000,868.829779,16465.000000,665.566420,27049.000000,1369.781405,
900,21179.000000,1271.270612,12687.000000,567.616988,16757.000000,1136.222568,27141.000000,1857.091771,
920,21245.000000,1589.288362,12816.000000,1193.278676,16834.000000,1699.055223,27295.000000,4038.820223,
940,21288.000000,1669.658777,12732.000000,1005.105173,16699.000000,1115.502800,27139.000000,1866.430280,
960,21553.000000,4005.715842,12757.000000,1008.240511,16997.000000,1662.671133,27365.000000,2104.924304,
980,21397.000000,1358.496948,12748.000000,945.364576,16924.000000,970.657868,27339.000000,1819.116349,
1000,21396.000000,1706.497315,12796.000000,1037.692526,16959.000000,1410.619006,27347.000000,1517.991340,
1020,21622.000000,1759.333944,12856.000000,884.819117,17597.000000,4879.861003,27833.000000,2522.860702,

done.
