hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,2,22760.000000,11741.417187,1839.000000,252.761858,15566.000000,2232.841670,20579.000000,2325.804763,28027.000000,4664.847525,
20,3,23681.000000,1806.907188,1784.000000,195.344683,15673.000000,2835.386731,23354.000000,3613.619667,29693.000000,2436.704959,
20,4,24890.000000,1650.325794,1766.000000,123.437332,15843.000000,1114.031037,26513.000000,5004.889997,31467.000000,2784.028056,
20,5,26073.000000,1428.260225,1764.000000,188.031138,16022.000000,812.405201,29117.000000,1339.885091,33114.000000,1499.215589,
20,6,27192.000000,1497.529501,1763.000000,175.352462,16182.000000,912.199416,32112.000000,1356.284338,34973.000000,4978.079293,
20,7,28501.000000,1998.071452,1766.000000,150.434457,16449.000000,1216.457315,34976.000000,1851.860866,36783.000000,2739.643781,
20,8,29908.000000,4580.002704,1753.000000,173.201016,16633.000000,1394.676340,38041.000000,1876.724501,38395.000000,1942.840283,
20,9,30925.000000,1486.782403,1728.000000,119.103866,16780.000000,1256.574025,40818.000000,1579.156844,40116.000000,1456.215991,
20,10,32311.000000,3327.979062,1754.000000,129.437023,17149.000000,1903.734141,44133.000000,3763.562928,42142.000000,3155.921751,
40,2,22562.000000,1074.820443,1850.000000,315.556233,15297.000000,787.909080,20449.000000,1361.750028,27526.000000,1345.215028,
40,3,23950.000000,1613.772086,1806.000000,205.170466,15524.000000,1253.270549,23421.000000,1582.788499,29474.000000,1550.099158,
40,4,25451.000000,1562.128146,1817.000000,767.341365,16000.000000,2103.089397,27017.000000,5027.149788,31646.000000,2381.814687,
40,5,27620.000000,6428.914098,1818.000000,656.988339,16777.000000,5150.463068,30508.000000,5032.906826,34233.000000,3695.958575,
40,6,28098.000000,1919.327179,1805.000000,583.658856,16306.000000,1585.979911,32794.000000,2119.303627,35037.000000,2071.109859,
40,7,29327.000000,1669.447854,1771.000000,120.598379,16412.000000,917.622510,35538.000000,1557.531290,36765.000000,1445.507048,
40,8,31151.000000,6587.060652,1771.000000,166.080974,16871.000000,2390.577462,38957.000000,2272.560808,38739.000000,2479.237135,
40,9,32019.000000,2065.366389,1774.000000,246.445231,16880.000000,1711.033871,42011.000000,3608.707701,40977.000000,5761.987007,
