Run on a Moto g Stylus 5G using Termux

hello! These are the plain franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, send_mean, send_stddev, platform_mean, platform_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,27013.000000,19282.066836,20756.000000,4755.084420,22792.000000,4664.511202,38570.000000,7368.703169,
40,25381.000000,3605.417774,19727.000000,1730.740631,21694.000000,2121.762349,36664.000000,2229.228068,
60,25279.000000,2467.757220,19750.000000,2478.490133,21758.000000,1293.787396,36707.000000,2481.765770,
80,25039.000000,1565.813934,19755.000000,2199.299023,21623.000000,1558.217245,36636.000000,2086.636562,
100,25166.000000,1578.377680,19671.000000,1833.484008,21587.000000,1136.383755,36681.000000,2411.392712,
120,25311.000000,1600.623222,19674.000000,1529.389084,21686.000000,1513.883308,36650.000000,2285.236790,
140,25295.000000,1105.106167,19707.000000,2063.532950,21772.000000,834.439607,36685.000000,2213.308335,
160,25163.000000,2130.394501,19535.000000,984.457883,21592.000000,1133.886905,36628.000000,2050.119610,
180,25391.000000,1864.766112,19748.000000,1478.423516,21780.000000,796.897158,36823.000000,2381.881907,
200,25557.000000,2150.761510,19685.000000,888.062977,21963.000000,1654.816127,36950.000000,2102.971572,
220,25603.000000,2538.034131,19742.000000,755.649259,22091.000000,2143.648381,36921.000000,2035.900419,
240,25465.000000,3060.298375,19797.000000,1417.837151,21928.000000,1503.794426,36798.000000,1726.359112,
260,25384.000000,1089.336838,19556.000000,1056.386003,21957.000000,2047.439676,36624.000000,2155.519566,
280,25358.000000,1584.143741,19592.000000,2348.670033,21839.000000,1755.159597,36529.000000,2795.759178,
300,25426.000000,1804.482246,19562.000000,1602.738667,21820.000000,1225.744102,36558.000000,2725.766163,
320,25246.000000,1648.550598,19568.000000,2257.368451,21752.000000,1106.479568,36521.000000,2424.209755,
340,25432.000000,1679.931651,19509.000000,1123.391916,21849.000000,1668.994497,36501.000000,2065.640945,
360,25489.000000,1471.512235,19622.000000,2512.684911,21923.000000,1448.869829,36563.000000,2932.119344,
380,25610.000000,1557.928959,19723.000000,2503.880502,22094.000000,1294.809221,36657.000000,1703.658378,
400,25502.000000,2385.067479,19489.000000,1330.548037,21850.000000,1380.152321,36610.000000,2607.523155,
420,25523.000000,1707.003683,19540.000000,1947.877660,21908.000000,1331.300645,36481.000000,2229.964049,
440,25581.000000,1449.198799,19548.000000,1368.595921,22110.000000,2269.055057,36610.000000,1748.609090,
460,25644.000000,1949.386968,19545.000000,1925.710499,22098.000000,1218.837598,36609.000000,1875.028026,
480,25437.000000,1127.402908,19519.000000,1628.796590,22181.000000,1814.491464,36547.000000,2443.749106,
500,25714.000000,1887.830145,19551.000000,1804.188730,22287.000000,1254.581178,36588.000000,2229.043853,
520,25857.000000,1412.193252,19615.000000,888.227472,22499.000000,2408.292477,36688.000000,2115.055764,
540,25876.000000,2103.510195,19593.000000,1335.342402,22373.000000,1479.786688,36603.000000,2255.882520,
560,25844.000000,2404.523731,19720.000000,1748.817796,22260.000000,603.586401,36686.000000,1935.696348,
580,25960.000000,2384.665361,19705.000000,1420.697609,22532.000000,1284.995714,36798.000000,2530.069463,
600,26271.000000,6838.126658,19689.000000,1423.431063,22460.000000,1055.185514,36639.000000,1339.862804,
620,26004.000000,1871.387794,19693.000000,1876.587710,22521.000000,1571.479322,36785.000000,2403.174971,
640,25841.000000,1491.505171,19742.000000,1656.457788,22552.000000,2472.522684,36743.000000,1817.602542,
660,26170.000000,1889.334271,19779.000000,1362.098063,22636.000000,919.458153,37019.000000,2758.680246,
680,26123.000000,1936.978841,19731.000000,1312.396927,22696.000000,1886.842873,36920.000000,2104.040672,
700,26148.000000,1411.373607,19757.000000,1166.543241,22678.000000,1732.705718,36979.000000,2345.836529,
720,26016.000000,1090.669763,19742.000000,1304.323009,22732.000000,2501.039913,37030.000000,2168.495374,
740,26155.000000,2001.484264,19754.000000,2098.470555,22675.000000,1449.846080,36837.000000,2041.680955,
760,26167.000000,1613.740013,19687.000000,1595.411487,22763.000000,1947.329366,36823.000000,2558.522233,
780,26228.000000,1763.306785,19622.000000,998.340369,22732.000000,1629.782944,36855.000000,2413.486826,
800,26106.000000,2410.780471,19602.000000,710.737107,22693.000000,2183.013760,36831.000000,1909.626126,
820,26226.000000,2175.407185,19695.000000,1746.417239,22721.000000,1922.433459,36766.000000,1908.191727,
840,26382.000000,2727.837658,19715.000000,1160.931594,22841.000000,1138.161630,36981.000000,2118.028328,
860,26260.000000,1474.125146,19618.000000,941.684148,22908.000000,2365.774556,36900.000000,1911.558496,
880,26166.000000,2228.126925,19628.000000,1214.889670,22727.000000,1682.264326,36764.000000,2074.998531,
900,26278.000000,783.321435,19699.000000,1382.834805,23089.000000,2451.739164,36897.000000,993.068835,
920,26469.000000,3014.389221,19660.000000,1485.755526,22933.000000,1637.004947,37015.000000,2905.111464,
940,26563.000000,4253.318306,19747.000000,2098.961367,23060.000000,2534.506692,36986.000000,2248.434825,
960,26310.000000,2411.967109,19661.000000,1364.969592,22830.000000,1303.169537,37079.000000,3230.965391,
980,26382.000000,1773.290431,19643.000000,1419.219142,22936.000000,1517.148035,36951.000000,2551.548996,
1000,26345.000000,1126.553716,19599.000000,2051.508313,22939.000000,1745.248163,36926.000000,2512.412152,
1020,26580.000000,1773.800995,19722.000000,1545.783658,23023.000000,1033.696471,37255.000000,8668.922982,

done.
