hello! These are the plain franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, send_mean, send_stddev, platform_mean, platform_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,19975.000000,23707.620395,13184.000000,18728.635633,17346.000000,40558.405395,29044.000000,62035.418596,
40,17547.000000,15974.681270,12256.000000,8723.868315,13617.000000,10684.559367,23830.000000,13742.543186,
60,17128.000000,47764.473147,11130.000000,5247.252975,13036.000000,17167.798693,21403.000000,5394.404129,
80,15510.000000,4870.408429,16566.000000,177314.889722,12823.000000,11130.424301,21511.000000,6796.137053,
100,19797.000000,45028.671400,15069.000000,51861.287076,22263.000000,116514.005178,31557.000000,85224.453380,
120,33163.000000,178611.163154,18302.000000,27755.419622,21124.000000,37961.215076,37389.000000,87527.840068,
140,26634.000000,33526.896197,17114.000000,30204.346322,19817.000000,24890.336296,34617.000000,60121.838619,
160,23053.000000,32813.870821,15300.000000,21295.791880,16752.000000,19596.902108,31746.000000,56859.958605,
180,30072.000000,191416.565040,21588.000000,222090.440652,18611.000000,79589.706399,27806.000000,69826.048133,
200,17153.000000,15476.414588,11731.000000,13025.719892,13130.000000,7586.008548,23035.000000,13551.315844,
220,19552.000000,18340.383875,14474.000000,21213.094350,15388.000000,13602.016897,26395.000000,27658.751827,
240,23118.000000,50424.488147,16640.000000,66343.109530,19644.000000,37402.091476,31496.000000,46677.213379,
260,25628.000000,101515.947360,12798.000000,11252.959410,21152.000000,60670.202669,34395.000000,123933.381857,
280,18888.000000,15180.768164,13382.000000,15054.724792,15419.000000,13579.636876,25575.000000,25130.918945,
300,28291.000000,85660.715403,25669.000000,303783.174973,20095.000000,74695.992358,30777.000000,77744.285467,
320,23555.000000,38273.475844,15956.000000,28728.601141,17283.000000,20361.770753,31604.000000,47270.801980,
340,24990.000000,49214.202710,16020.000000,28430.266269,19853.000000,32729.854325,32294.000000,45580.101379,
360,21446.000000,27284.365934,15958.000000,39260.920445,17223.000000,29033.171716,30720.000000,59471.561653,
380,21357.000000,25994.570149,17043.000000,35022.146308,18237.000000,26451.242866,31277.000000,37235.533659,
400,23276.000000,56407.737303,16968.000000,53373.052014,22812.000000,196341.355028,30961.000000,71419.914711,
420,21484.000000,27389.738315,14165.000000,21112.806562,16779.000000,24096.289994,28363.000000,35906.025671,
440,30699.000000,86859.795423,16660.000000,39662.360509,21081.000000,42273.323283,42952.000000,159453.587582,
460,24053.000000,42380.859281,14213.000000,24283.251469,18255.000000,35208.862851,29411.000000,38936.297530,
480,20375.000000,25791.688724,13194.000000,15604.141774,17808.000000,36281.227871,26660.000000,24917.081702,
500,24432.000000,122957.514045,12667.000000,14508.376435,15036.000000,13717.614497,26562.000000,26974.395999,
520,23010.000000,47775.849562,13175.000000,19213.746886,18326.000000,40362.924694,32082.000000,91953.582248,
540,24258.000000,56103.438667,14321.000000,26068.956239,28320.000000,194521.230566,32255.000000,51273.145982,
560,23093.000000,28272.751799,13350.000000,12764.111456,18710.000000,31393.359637,32541.000000,56480.211496,
580,33047.000000,295967.421020,13991.000000,17120.900674,17095.000000,26805.263999,30428.000000,64888.499214,
600,42372.000000,217943.784007,20512.000000,131128.798928,17472.000000,44793.251330,33443.000000,93694.299233,
620,24241.000000,72553.969913,19782.000000,107691.802720,24432.000000,185245.178575,31282.000000,107603.041699,
640,20416.000000,64387.557257,11885.000000,12024.054783,14602.000000,10159.740406,24519.000000,15761.195728,
660,19709.000000,38337.436547,12155.000000,33373.742445,17377.000000,114840.898395,23134.000000,7406.394103,
680,38222.000000,329058.581653,11274.000000,7134.695119,15427.000000,37205.268543,30401.000000,150512.192634,
700,17393.000000,5439.490540,10895.000000,1999.911358,13982.000000,3284.272558,23336.000000,7945.788296,
720,17505.000000,6509.607823,10952.000000,2286.667102,13920.000000,2893.576138,23145.000000,6664.989928,
740,17058.000000,1310.987676,10927.000000,2939.804065,13963.000000,5858.754955,23096.000000,5731.030405,
760,18168.000000,9911.458664,11632.000000,8363.990998,15231.000000,9487.479225,23755.000000,9097.721469,
780,18503.000000,12417.311343,11783.000000,9197.698755,14788.000000,7002.981756,25115.000000,30942.388420,
800,18195.000000,9412.469062,11386.000000,5721.817045,15010.000000,10063.362483,24315.000000,11598.065521,
820,18076.000000,10344.566723,11725.000000,8808.431304,14825.000000,7955.190021,24027.000000,11929.486158,
840,18598.000000,9918.731631,11882.000000,9023.529963,15651.000000,15522.017151,28985.000000,100767.040940,
860,18644.000000,11163.673525,11924.000000,10916.301873,22241.000000,174309.624694,27993.000000,68185.462230,
880,17984.000000,6007.696132,11287.000000,5194.649403,14546.000000,5040.096786,23953.000000,7283.891033,
900,19121.000000,19628.260488,13407.000000,48710.363344,15313.000000,7453.622629,31220.000000,167827.779534,
920,18316.000000,6787.472745,11097.000000,3168.154578,15255.000000,7923.137578,24818.000000,15148.727575,
940,18444.000000,8176.189602,11286.000000,5498.725256,14782.000000,5111.259651,23907.000000,7421.124555,
960,18239.000000,6032.468387,11227.000000,4658.036925,15127.000000,7140.195746,24054.000000,7304.636005,
980,18606.000000,9632.811275,11079.000000,3521.539835,15015.000000,5698.084136,24064.000000,6705.901786,
1000,18318.000000,7768.191307,11095.000000,3805.233134,14872.000000,5167.911896,24327.000000,9451.334086,

