hello! These are the plain franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, send_mean, send_stddev, platform_mean, platform_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,21114.000000,39800.990951,15481.000000,33538.597301,16336.000000,30693.468632,28973.000000,87058.735717,
40,25723.000000,110565.961103,19076.000000,62575.323368,19541.000000,71672.301737,36585.000000,94100.118892,
60,25772.000000,130187.113736,21750.000000,90539.053982,27561.000000,199027.814784,41743.000000,220381.281984,
80,22662.000000,93526.266803,16458.000000,77727.302907,18449.000000,114760.432192,27627.000000,56701.931525,
100,19368.000000,24223.026212,13277.000000,22885.862242,16691.000000,47664.078088,27141.000000,39735.535780,
120,17988.000000,35066.310092,12022.000000,9586.034734,14629.000000,48070.395281,23610.000000,21136.821616,
140,18802.000000,32034.812298,13217.000000,18341.431282,14032.000000,11570.823434,25151.000000,21751.731086,
160,17781.000000,16171.192980,14500.000000,40906.791874,14194.000000,20351.131175,23185.000000,12421.819614,
180,17877.000000,19359.822533,12698.000000,14771.593579,14068.000000,15191.712195,24891.000000,25059.581646,
200,18754.000000,22786.755444,12521.000000,12607.743009,13958.000000,12026.886248,23928.000000,18049.075366,
220,17393.000000,12317.288618,12448.000000,15413.835878,14329.000000,12787.449462,23685.000000,16810.526282,
240,17522.000000,15623.126997,12119.000000,11070.690506,14015.000000,11997.189882,23904.000000,17408.891718,
260,18930.000000,24307.622490,11963.000000,10162.517279,14587.000000,15172.446162,23359.000000,13530.993792,
280,17956.000000,13883.501322,12536.000000,11989.421578,15142.000000,23234.295343,25392.000000,21263.887845,
300,19157.000000,17797.484351,13278.000000,18575.369585,16073.000000,23426.309149,25047.000000,16284.728262,
320,20862.000000,43841.211407,20030.000000,233646.990100,16758.000000,29771.983029,30009.000000,85527.331807,
340,17202.000000,11854.911800,12766.000000,18705.297267,13930.000000,9294.136218,24551.000000,19920.149210,
360,18288.000000,24205.421065,11903.000000,7458.079518,15442.000000,18614.780380,24342.000000,14363.540918,
380,17798.000000,15772.986223,12091.000000,10346.960855,14592.000000,12065.225196,25144.000000,21552.382854,
400,21774.000000,52779.367341,12474.000000,12353.955361,14793.000000,11732.492222,25993.000000,27988.277908,
420,40226.000000,149289.634391,24595.000000,104114.786679,22158.000000,90621.931072,46508.000000,156465.288044,
440,23752.000000,55770.681484,18149.000000,95063.362627,17515.000000,34197.221717,37354.000000,102130.741733,
460,20690.000000,36151.118466,12484.000000,13059.238021,16707.000000,47152.920895,25329.000000,25093.463653,
480,31475.000000,91699.106208,18128.000000,57047.726950,22926.000000,100506.027559,53334.000000,280318.123709,
500,25660.000000,69819.689823,17593.000000,69959.513869,20356.000000,45101.413566,33724.000000,64182.888716,
520,20177.000000,25079.994464,15032.000000,32937.262077,17288.000000,46692.202823,39384.000000,247888.913466,
540,19844.000000,40254.828630,20038.000000,136317.821577,21009.000000,125251.512050,29745.000000,140409.993968,
560,21957.000000,35379.880498,14659.000000,21651.738774,17552.000000,26544.892016,28767.000000,34050.751959,
580,23694.000000,27611.842457,17753.000000,36990.819170,19035.000000,39304.342674,33142.000000,46967.492964,
600,21326.000000,48936.736955,17019.000000,113190.916555,19751.000000,97237.948067,37532.000000,290639.792223,
620,17485.000000,8565.491546,11405.000000,6650.103938,14042.000000,7120.232376,24185.000000,28246.412046,
640,18213.000000,13537.755470,11271.000000,6232.906233,14242.000000,6535.013395,23569.000000,9419.332650,
660,17457.000000,6559.537079,11216.000000,4746.008655,14244.000000,6382.189996,27214.000000,92035.151922,
680,26832.000000,53502.293158,19378.000000,52297.122636,23355.000000,54072.219443,38199.000000,79350.489744,
700,24352.000000,34076.310702,16368.000000,34456.657715,21805.000000,93116.568904,32499.000000,50784.261079,
720,17639.000000,8381.430096,12173.000000,22389.683915,14367.000000,5746.012120,23855.000000,10702.953300,
740,17742.000000,8299.593764,11484.000000,6203.515867,14201.000000,5107.868707,23368.000000,6527.734822,
760,18343.000000,10366.057916,11333.000000,5656.180305,14396.000000,5097.632730,23528.000000,7312.281218,
780,19416.000000,45053.406307,11234.000000,5218.849926,14802.000000,24545.030354,24214.000000,20200.126950,
800,17726.000000,8103.968391,11650.000000,18862.343756,14451.000000,6709.392068,28409.000000,71337.584360,
820,17307.000000,3778.392098,11022.000000,2747.912822,14141.000000,2623.422831,23494.000000,7108.549663,
840,18363.000000,11026.962057,11406.000000,5245.827156,14522.000000,4511.970392,23601.000000,5337.668858,
860,17688.000000,5606.227592,11019.000000,1630.554907,14385.000000,3144.382081,23300.000000,3549.456206,
880,17559.000000,4313.351016,11159.000000,4679.600497,14303.000000,2143.680230,23965.000000,8960.272553,
900,18081.000000,9247.511291,11230.000000,5588.227213,14976.000000,6743.095182,23611.000000,4612.463308,
920,17917.000000,5269.101358,10942.000000,2037.083673,14516.000000,4020.839853,23500.000000,4309.144699,
940,17638.000000,3814.605837,11007.000000,2552.194543,14762.000000,5227.635476,23637.000000,5250.113612,
960,17808.000000,3338.488865,10912.000000,973.923253,14575.000000,2641.931643,23942.000000,8213.607049,
980,26846.000000,68276.142245,16238.000000,28970.442841,19787.000000,23935.887685,34982.000000,57145.956405,
1000,31412.000000,65691.199066,19227.000000,61808.905171,26646.000000,65132.182845,38728.000000,67520.822911,
1020,27677.000000,34637.774618,15795.000000,22070.560032,31872.000000,168838.247660,39275.000000,70764.865044,

done.
