hello! These are the plain franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, send_mean, send_stddev, platform_mean, platform_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,8715.000000,1818.949795,2969.000000,592.596228,3384.000000,1854.999833,5661.000000,2943.998847,
40,8595.000000,668.708114,2998.000000,924.077234,3345.000000,1151.464664,5531.000000,689.472508,
60,8820.000000,508.053688,2987.000000,643.336276,3546.000000,664.562960,5729.000000,620.476925,
80,8785.000000,810.230412,2972.000000,871.901536,3487.000000,492.422794,5828.000000,3215.175840,
100,8826.000000,572.477014,2930.000000,410.846252,3489.000000,327.928138,5727.000000,719.046309,
120,9085.000000,993.281309,2925.000000,298.819206,3741.000000,407.117641,5893.000000,305.785457,
140,9021.000000,627.804167,2953.000000,407.646988,3715.000000,927.178383,5883.000000,536.586135,
160,8960.000000,997.764803,2947.000000,352.820888,3632.000000,300.673619,6034.000000,3316.696819,
180,9126.000000,2369.222752,2985.000000,467.194999,3731.000000,584.360238,6018.000000,2989.575960,
200,9555.000000,1834.260348,2984.000000,376.815274,4164.000000,3322.115468,6564.000000,6140.616401,
220,9489.000000,1521.404585,3110.000000,2834.870404,4048.000000,1448.094702,6252.000000,1314.555377,
240,9260.000000,1060.436491,2971.000000,466.805202,3914.000000,468.748835,6144.000000,688.848023,
260,9568.000000,1048.864704,2954.000000,478.500056,4099.000000,567.377591,6312.000000,795.706793,
280,9554.000000,977.997720,2984.000000,668.941915,4118.000000,501.200122,6324.000000,1060.602364,
300,9542.000000,1016.904088,2956.000000,505.052087,4144.000000,603.901239,6309.000000,701.498596,
320,9773.000000,1839.042901,3025.000000,1617.991562,4338.000000,489.815863,6748.000000,4270.525151,
340,9631.000000,485.157218,2955.000000,580.035429,4354.000000,632.138418,6455.000000,588.754576,
360,10039.000000,7864.858208,2971.000000,721.483450,4436.000000,2582.758869,6496.000000,1137.423667,
380,10114.000000,3486.067789,2998.000000,583.170876,4597.000000,951.324711,6697.000000,542.471944,
400,9872.000000,1072.808145,3000.000000,1111.404613,4533.000000,615.469936,6678.000000,800.918114,
420,10218.000000,2898.963814,3281.000000,3548.015110,4737.000000,3111.794096,6886.000000,4181.030297,
440,10371.000000,5711.000171,3030.000000,1372.040362,4903.000000,1684.981407,6970.000000,1140.951084,
460,10150.000000,1257.067491,2974.000000,568.741939,4740.000000,562.027547,6855.000000,597.459933,
480,10090.000000,3104.888805,2919.000000,144.329342,4876.000000,4552.009482,6824.000000,562.679645,
500,10244.000000,1579.543713,3049.000000,2287.998564,5017.000000,3427.503978,6990.000000,1483.904442,
520,10228.000000,779.902823,2956.000000,616.641221,4935.000000,650.933927,7021.000000,697.517470,
540,10309.000000,1473.353452,2930.000000,430.813775,4912.000000,419.740370,7013.000000,700.187946,
560,10192.000000,682.348902,2914.000000,46.521586,4895.000000,621.735761,7003.000000,685.064486,
580,10480.000000,3530.723546,2928.000000,454.302177,5124.000000,742.778248,7199.000000,715.921776,
600,10402.000000,891.438990,2928.000000,286.655980,5117.000000,405.257949,7176.000000,536.082798,
620,10446.000000,1057.612531,2949.000000,497.395970,5103.000000,422.861319,7180.000000,610.651722,
640,10548.000000,766.184169,2916.000000,319.412808,5227.000000,376.580985,7334.000000,703.799122,
660,10647.000000,983.001735,2919.000000,214.464188,5263.000000,408.064508,7322.000000,478.420318,
680,10701.000000,1206.589423,2931.000000,397.311402,5326.000000,567.116353,7357.000000,640.791916,
700,10932.000000,1039.219105,3040.000000,1686.505568,5797.000000,3769.544816,7658.000000,1385.373924,
720,10750.000000,762.172301,2941.000000,308.166478,5539.000000,862.138380,7551.000000,526.257401,
740,11039.000000,3282.095346,3020.000000,1095.312754,5570.000000,1400.186956,7646.000000,1245.560322,
760,11130.000000,990.078121,2959.000000,328.904247,5734.000000,499.905751,7836.000000,959.126098,
780,11217.000000,2584.160134,3022.000000,1378.738671,5803.000000,864.683823,7811.000000,2060.330477,
800,11152.000000,2037.185940,2979.000000,590.615653,6145.000000,8082.334337,7902.000000,2410.179391,
820,11205.000000,2911.818637,2957.000000,428.317127,5770.000000,957.774387,7724.000000,591.625803,
840,11237.000000,1022.809753,2957.000000,406.943400,5924.000000,930.665435,7926.000000,586.166972,
860,11338.000000,1002.255259,2983.000000,549.976773,6062.000000,2863.439226,7953.000000,667.318028,
880,11181.000000,1191.457031,2935.000000,309.275111,5917.000000,667.573427,7916.000000,572.917796,
900,12004.000000,5776.159764,3089.000000,2686.302498,6361.000000,2417.828785,8348.000000,3308.602593,
920,11424.000000,1141.744680,2940.000000,191.937396,6111.000000,1121.844178,8185.000000,1045.022707,
940,11433.000000,907.484810,2970.000000,534.080928,6027.000000,481.312587,8102.000000,687.863657,
960,11546.000000,905.259308,2916.000000,371.100248,6257.000000,528.984112,8306.000000,978.148948,
980,11711.000000,1306.234327,2937.000000,468.135100,6367.000000,1171.289906,8469.000000,3827.304374,
1000,12160.000000,6860.398189,3093.000000,2586.588916,6442.000000,917.937674,8475.000000,1834.274470,
1020,12236.000000,3969.967620,3121.000000,2168.621088,6803.000000,1030.929116,8542.000000,1724.427723,

done.
