hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,2,24996.000000,62993.642161,1737.000000,3011.983947,21596.000000,61214.218435,24287.000000,26714.355315,29134.000000,26067.432497,
20,3,21848.000000,18350.835117,1774.000000,3257.574910,19143.000000,17358.951607,25540.000000,16735.083642,30016.000000,22985.375724,
20,4,40689.000000,254652.405801,2297.000000,15885.200932,39002.000000,190061.534219,51200.000000,198728.486664,49738.000000,192912.133063,
20,5,42883.000000,142226.510405,4316.000000,25984.869239,41566.000000,156608.746169,64661.000000,184790.730264,71663.000000,201971.105510,
20,6,51753.000000,178650.705421,2937.000000,17662.465458,40390.000000,156676.453901,81640.000000,219636.946017,70177.000000,194941.997868,
20,7,41735.000000,135511.280457,2297.000000,11895.823997,26695.000000,106376.708369,56837.000000,158298.420466,57222.000000,232840.871909,
20,8,24697.000000,1568.300818,1422.000000,154.149677,16988.000000,1690.233410,35779.000000,2497.446095,33022.000000,1615.634845,
20,9,25825.000000,1984.888513,1419.000000,163.741723,17162.000000,1439.954984,38465.000000,2931.357148,34893.000000,2757.887941,
20,10,26827.000000,1762.408010,1416.000000,81.824642,17174.000000,932.887946,40934.000000,1803.227600,36340.000000,2735.355873,
40,2,18595.000000,1420.754837,1535.000000,49.627412,15874.000000,995.690702,19470.000000,1338.988744,24029.000000,1832.475404,
40,3,19803.000000,2027.219169,1487.000000,214.346910,15995.000000,2212.640456,22201.000000,1945.782788,25619.000000,1694.047354,
40,4,20934.000000,1681.686985,1458.000000,143.080352,16241.000000,2748.493210,25050.000000,1267.053957,27133.000000,1623.857009,
40,5,22059.000000,1170.972577,1451.000000,129.752106,16350.000000,1782.833380,27885.000000,1707.178265,28724.000000,2147.418624,
40,6,23217.000000,1742.345755,1467.000000,349.190606,16558.000000,1764.062910,30557.000000,1641.811171,30219.000000,2156.439066,
40,7,24486.000000,2074.039761,1443.000000,50.938541,16827.000000,2058.844037,33391.000000,2284.996076,31891.000000,2025.779463,
40,8,25630.000000,1858.117672,1459.000000,212.101325,16923.000000,1340.695542,36451.000000,2684.949815,33443.000000,2428.400473,
40,9,26662.000000,2130.144137,1437.000000,137.840277,17143.000000,2463.098729,38977.000000,2526.208858,35092.000000,3206.451677,
40,10,27897.000000,1856.050441,1454.000000,204.811023,17203.000000,1067.150300,41950.000000,2531.257067,36490.000000,2295.711622,
60,2,18797.000000,1709.202198,1550.000000,540.185543,15818.000000,1608.400777,19419.000000,1749.473910,23945.000000,2043.576372,
60,3,20061.000000,1307.061651,1485.000000,109.446521,15964.000000,1375.423587,22361.000000,2025.567330,25587.000000,1610.812483,
60,4,21215.000000,3063.704704,1467.000000,114.368816,16164.000000,1636.759204,25233.000000,1547.930381,27109.000000,1965.174031,
60,5,22370.000000,1961.848572,1457.000000,151.469835,16438.000000,1678.719431,28088.000000,1908.487228,28769.000000,2223.017166,
60,6,23656.000000,2182.881986,1459.000000,178.345914,16446.000000,1420.538910,30989.000000,2018.276047,30221.000000,1915.060894,
60,7,24860.000000,1948.582045,1462.000000,195.756395,16633.000000,926.081868,33734.000000,2027.809059,31886.000000,1911.428039,
60,8,26035.000000,1923.450840,1474.000000,256.076520,16794.000000,1503.024080,36777.000000,2399.661629,33207.000000,2075.332269,
60,9,27242.000000,2005.487586,1460.000000,193.516113,16984.000000,1338.097142,39511.000000,2174.876902,34917.000000,2166.263229,
60,10,28615.000000,1828.788183,1456.000000,251.219551,17208.000000,1340.286140,42596.000000,3372.768530,36374.000000,2165.213104,
80,2,18662.000000,1454.380056,1529.000000,239.631993,15875.000000,1624.544706,19419.000000,1174.368059,23947.000000,1639.929740,
80,3,20158.000000,1602.777608,1488.000000,194.906175,15893.000000,806.713165,22398.000000,1707.578532,25633.000000,1472.424795,
80,4,21257.000000,2139.247797,1491.000000,424.217548,16165.000000,1577.127690,25329.000000,2028.388399,27219.000000,2288.799722,
80,5,22461.000000,1800.460878,1462.000000,127.651502,16266.000000,1066.233839,28317.000000,2250.063598,28920.000000,2195.351950,
80,6,23834.000000,1888.984372,1467.000000,281.759726,16519.000000,1738.436504,31233.000000,1897.956182,30229.000000,1972.898354,
80,7,24988.000000,1522.449754,1456.000000,177.160896,16650.000000,1326.858041,34048.000000,2010.788926,31854.000000,2225.054347,
80,8,26244.000000,1289.210458,1454.000000,139.959112,16984.000000,1947.210482,37261.000000,2376.758760,33202.000000,1743.593583,
80,9,27677.000000,1855.462222,1451.000000,123.008114,17012.000000,747.769608,40028.000000,2304.547164,35039.000000,1865.322323,
80,10,28888.000000,1749.399541,1456.000000,151.664782,17285.000000,1635.623530,42956.000000,1770.218224,36602.000000,2359.728216,
100,2,18792.000000,1230.834067,1510.000000,46.106431,15957.000000,1552.910554,19650.000000,1872.989037,23985.000000,1365.170753,
100,3,20265.000000,1645.858072,1482.000000,233.721952,16011.000000,1395.744637,22611.000000,2860.205884,25630.000000,1735.812214,
100,4,21393.000000,1176.798756,1470.000000,260.288995,16196.000000,1122.907215,25578.000000,1719.156707,27217.000000,2248.185368,
100,5,22815.000000,1804.555290,1453.000000,159.297445,16365.000000,1332.579205,28625.000000,2302.677730,28792.000000,1972.434102,
100,6,24064.000000,1999.341473,1454.000000,215.340428,16462.000000,1291.517245,31416.000000,1730.869827,30380.000000,3110.217519,
100,7,25513.000000,2196.838842,1470.000000,361.794707,16770.000000,2059.513894,34522.000000,2799.113358,31791.000000,2283.891242,
