hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,2,41948.000000,162268.963543,3633.000000,45441.991359,38520.000000,181036.814213,42558.000000,232683.009965,49344.000000,143866.031155,
20,3,28935.000000,69755.525122,1821.000000,3099.048754,24396.000000,46463.099182,32046.000000,79438.488317,40749.000000,94053.144507,
20,4,24518.000000,20749.964713,1985.000000,3696.797006,20358.000000,19713.186126,30803.000000,28552.066783,33699.000000,25197.515907,
20,5,27698.000000,46963.450731,1860.000000,4289.124098,20252.000000,21855.628128,33765.000000,28075.044778,34996.000000,26820.063152,
20,6,31388.000000,42502.086362,2777.000000,19914.041056,24269.000000,45760.502543,44956.000000,88694.159236,45351.000000,64231.970981,
20,7,35880.000000,219928.349364,1941.000000,4048.123393,22426.000000,60756.160354,50148.000000,227120.343245,40105.000000,43776.748203,
20,8,28989.000000,22144.616663,1835.000000,3345.702670,19893.000000,17426.662214,46187.000000,54817.992527,40432.000000,34145.091881,
20,9,31817.000000,36406.039699,1668.000000,1353.984076,21706.000000,25185.156578,50548.000000,118458.775369,46418.000000,116928.417592,
20,10,31164.000000,21308.303888,1935.000000,2920.651765,20671.000000,16194.660813,50906.000000,35871.383732,43905.000000,30908.243672,
40,2,28055.000000,108641.338039,2688.000000,17451.420131,29206.000000,163386.678258,27676.000000,81028.675417,40173.000000,195271.629516,
40,3,30803.000000,126402.336727,1945.000000,4669.948484,23510.000000,47246.986891,36936.000000,150881.728324,43294.000000,166077.172744,
40,4,31718.000000,227476.480998,1601.000000,1213.443567,17570.000000,10196.075059,37317.000000,188930.054432,42546.000000,250066.011252,
40,5,30198.000000,69637.316852,2085.000000,6882.080837,23981.000000,128043.358991,39303.000000,118534.649257,37441.000000,68876.832802,
40,6,40193.000000,160214.797147,1906.000000,5775.822437,24886.000000,87616.290827,39785.000000,84539.545817,46737.000000,130891.326538,
40,7,27864.000000,18988.913667,1814.000000,3668.126116,19279.000000,15737.899333,39178.000000,23385.752148,37752.000000,21174.291682,
40,8,31685.000000,48773.480714,1979.000000,3669.892545,22701.000000,38029.240463,52726.000000,149122.126911,47436.000000,139918.558006,
40,9,31836.000000,54507.983957,1698.000000,1339.653412,21603.000000,51892.694873,44479.000000,20583.516938,41309.000000,25103.299464,
40,10,40650.000000,83841.997944,2386.000000,8216.309742,25088.000000,66073.885768,66911.000000,300419.139423,61949.000000,251816.013940,
60,2,19542.000000,9822.252612,1633.000000,1498.177994,16465.000000,12800.995345,19637.000000,5491.058524,24464.000000,3318.827655,
60,3,20322.000000,4090.185727,1560.000000,46.452621,17101.000000,28861.273101,25552.000000,74822.986285,29219.000000,62392.749742,
60,4,21584.000000,5881.769892,1564.000000,279.409161,16349.000000,3602.124293,25929.000000,8373.075323,28016.000000,6293.476879,
60,5,22509.000000,4904.072325,1556.000000,534.155447,16547.000000,4713.675043,28821.000000,7747.183864,29496.000000,5291.471484,
60,6,23919.000000,6293.189254,1553.000000,588.400483,16803.000000,7232.411409,31870.000000,6944.202807,31306.000000,8676.286241,
60,7,24934.000000,4832.793787,1551.000000,453.476650,16643.000000,975.565934,34520.000000,5212.337466,33182.000000,10039.241444,
60,8,26683.000000,8383.972877,1648.000000,2263.648914,17549.000000,10417.355295,38530.000000,16064.946860,35246.000000,17816.687532,
60,9,33327.000000,61043.062037,1656.000000,1311.575611,19183.000000,13136.928928,47412.000000,47755.094150,40918.000000,30342.388742,
60,10,68957.000000,324772.519372,4071.000000,27023.259239,44371.000000,237848.932967,100187.000000,312233.608473,83787.000000,293469.592272,
80,2,23812.000000,28643.659175,1981.000000,4955.859950,20579.000000,23177.841337,25965.000000,30897.326758,46200.000000,319662.574480,
80,3,39978.000000,215032.445193,4008.000000,48876.035838,30013.000000,163141.806260,37861.000000,127522.801008,56072.000000,243785.549074,
80,4,24395.000000,38014.455215,1649.000000,1857.925578,19677.000000,59704.318871,30521.000000,56387.307647,39207.000000,223251.536261,
80,5,22479.000000,1525.987657,1549.000000,242.890129,16363.000000,903.439812,28708.000000,2397.639308,29347.000000,2011.755361,
80,6,40830.000000,324824.231820,1640.000000,946.851654,26634.000000,127957.445923,38083.000000,69872.223685,35476.000000,21135.565218,
80,7,35767.000000,261742.546036,1585.000000,730.297391,18349.000000,11347.309076,40239.000000,84820.265057,39203.000000,100850.369374,
80,8,26345.000000,1449.073573,1518.000000,81.554889,16920.000000,1356.961730,37717.000000,1863.410630,33695.000000,1244.681900,
80,9,27555.000000,1456.606829,1543.000000,96.922567,16949.000000,811.954199,40717.000000,1508.673910,35543.000000,1689.661893,
80,10,28773.000000,1044.429975,1533.000000,89.592595,17089.000000,892.961635,43554.000000,1600.464107,37083.000000,2076.702983,
