hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,2,12246.000000,1866.287006,717.000000,59.463695,12373.000000,134305.930053,8350.000000,1300.694478,6939.000000,1156.073026,
20,3,13019.000000,1640.733095,703.000000,161.815537,8298.000000,922.653135,10543.000000,3594.709280,7993.000000,2327.530953,
20,4,13748.000000,3231.865373,708.000000,227.705272,8533.000000,1688.514401,12905.000000,1906.054641,8447.000000,825.061213,
20,5,14445.000000,1253.798061,704.000000,264.523719,8703.000000,1203.932233,14944.000000,1163.270685,9657.000000,1610.551354,
20,6,15324.000000,1449.476395,718.000000,524.835553,9053.000000,2615.275534,17747.000000,4353.096449,10433.000000,5293.949673,
20,7,15829.000000,1202.853404,705.000000,179.466537,9161.000000,2113.608538,19494.000000,3326.024783,11387.000000,1977.826049,
20,8,16468.000000,1303.665028,696.000000,128.571727,9199.000000,722.462882,21566.000000,1581.937206,11991.000000,2567.386295,
20,9,17305.000000,1299.258943,694.000000,180.013791,9538.000000,870.945082,24187.000000,4250.112831,12769.000000,1171.730382,
20,10,17983.000000,1064.264214,694.000000,85.063329,9670.000000,890.860068,26740.000000,4395.632681,13583.000000,2915.840359,
40,2,12458.000000,944.065226,765.000000,415.704477,8081.000000,806.575165,8709.000000,1342.713895,7141.000000,830.902994,
40,3,13154.000000,806.272518,742.000000,224.552660,8252.000000,792.065036,10950.000000,1299.350124,8138.000000,990.347077,
40,4,14488.000000,3728.855217,743.000000,135.279618,8769.000000,1605.923414,13496.000000,1130.447218,8997.000000,1404.958902,
40,5,15019.000000,1114.982759,738.000000,131.148797,8719.000000,667.984888,15774.000000,1502.873096,9835.000000,887.823948,
40,6,16496.000000,4947.996738,796.000000,1039.001953,9347.000000,3220.454771,18717.000000,3705.745132,11356.000000,16264.455517,
