Results from GCP instance in zome us-central1-a machine type e2-small intel Broadwell (Intel(R) Xeon(R) CPU @ 2.20GHz) 2GB RAM, ubuntu 20.04 LTS

(all core turbo frequency is 2.8GHz, which VM likely gets even if base frequency advertised to VM is 2.2GHz, see https://cloud.google.com/compute/docs/cpu-platforms#frequency_behavior)

hello!
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
20,2,12640.000000,4141.788182,732.000000,225.237188,3551.000000,987.193057,4255.000000,2300.320944,7507.000000,1482.076932,
20,3,12941.000000,989.170174,691.000000,24.338550,3627.000000,566.704621,4764.000000,777.970493,8700.000000,1065.415073,
20,4,14092.000000,5253.414217,714.000000,550.892942,3901.000000,1599.731110,5569.000000,1189.418215,9911.000000,9170.133296,
20,5,14541.000000,1057.531604,692.000000,95.327200,3844.000000,529.961601,6066.000000,470.084679,10846.000000,1243.606498,
20,6,15619.000000,5333.670201,691.000000,81.535054,4011.000000,1674.400878,7099.000000,7801.023194,11999.000000,1823.300619,
20,7,16134.000000,1844.801705,689.000000,102.810919,4149.000000,2644.070445,7433.000000,557.036372,13003.000000,1571.693565,
20,8,17006.000000,2415.187266,681.000000,50.212349,4014.000000,472.834215,8063.000000,817.362586,13715.000000,843.958778,
20,9,17509.000000,1041.622745,687.000000,75.587453,4216.000000,216.674892,8805.000000,1916.568128,15174.000000,1504.230282,
20,10,18228.000000,1005.169579,685.000000,66.244419,4224.000000,357.250477,9330.000000,728.591183,16215.000000,1947.188300,
40,2,13040.000000,4480.490311,762.000000,159.765268,3551.000000,497.603234,4405.000000,261.408504,7781.000000,1382.575243,
40,3,13521.000000,2228.161642,739.000000,164.406919,3704.000000,1221.079680,5184.000000,1896.825915,9008.000000,1348.475779,
40,4,14280.000000,2494.971193,719.000000,61.079432,3777.000000,880.335914,5878.000000,817.521080,9833.000000,985.619378,
40,5,15375.000000,2964.927506,722.000000,93.542974,3939.000000,994.849702,6820.000000,1316.268864,11139.000000,1255.424194,
40,6,16075.000000,1138.528428,738.000000,166.475809,3857.000000,363.819922,7357.000000,1024.755062,12232.000000,1627.172967,
40,7,16860.000000,1012.208125,727.000000,141.381477,4083.000000,1157.360560,8041.000000,756.699444,13407.000000,1546.074004,
40,8,17899.000000,3832.379159,724.000000,65.140088,4056.000000,551.116490,8823.000000,1234.195264,14485.000000,1734.181266,
40,9,18772.000000,1793.010491,719.000000,70.914427,4250.000000,376.834369,9468.000000,586.669127,15489.000000,1294.680228,
40,10,19553.000000,2756.259422,726.000000,92.176624,4317.000000,843.090235,10374.000000,2838.785192,16832.000000,1989.107250,
60,2,12790.000000,1262.811150,765.000000,85.818617,3567.000000,1576.454066,4388.000000,465.814049,7633.000000,572.940855,
60,3,13743.000000,3144.037520,741.000000,146.574125,3664.000000,524.177667,5219.000000,601.780640,9093.000000,1487.148179,
60,4,14512.000000,1490.898397,731.000000,132.243166,3785.000000,1096.365920,6087.000000,1214.447700,9969.000000,3154.545653,
60,5,15431.000000,1460.110982,749.000000,652.692553,3819.000000,254.045423,6873.000000,892.221988,11194.000000,1256.345524,
60,6,16246.000000,837.976379,732.000000,108.004259,3843.000000,563.419680,7583.000000,953.094337,12137.000000,959.002830,
